    29:bca    P c 21 b       P -2bc -2c       PON$I2C066$I2A006        
    29:a-cb   P b 21 a       P -2a -2ab       PON$I2C600$I2A660        
    30        P n c 2        P 2 -2bc         PON$P2C000$I2A066        
    30:ba-c   P c n 2        P 2 -2ac         PON$P2C000$I2A606        
    30:cab    P 2 n a        P -2ac 2         PON$I2C606$P2A000        
    30:-cba   P 2 a n        P -2ab 2         PON$I2C660$P2A000        
    30:bca    P b 2 n        P -2ab -2ab      PON$I2C660$I2A660        
    30:a-cb   P n 2 b        P -2bc -2bc      PON$I2C066$I2A066        
    31        P m n 21       P 2ac -2         PON$P2C606$I2A000        
    31:ba-c   P n m 21       P 2bc -2bc       PON$P2C066$I2A066        
    31:cab    P 21 m n       P -2ab 2ab       PON$I2C660$P2A660        
    31:-cba   P 21 n m       P -2 2ac         PON$I2C000$P2A606        
    31:bca    P n 21 m       P -2 -2bc        PON$I2C000$I2A066        
    31:a-cb   P m 21 n       P -2ab -2        PON$I2C660$I2A000        
    32        P b a 2        P 2 -2ab         PON$P2C000$I2A660        
    32:cab    P 2 c b        P -2bc 2         PON$I2C066$P2A000        
    32:bca    P c 2 a        P -2ac -2ac      PON$I2C606$I2A606        
    33        P n a 21       P 2c -2n         PON$P2C006$I2A666        
    33:ba-c   P b n 21       P 2c -2ab        PON$P2C006$I2A660        
    33:cab    P 21 n b       P -2bc 2a        PON$I2C066$P2A600        
    33:-cba   P 21 c n       P -2n 2a         PON$I2C666$P2A600        
    33:bca    P c 21 n       P -2n -2ac       PON$I2C666$I2A606        
    33:a-cb   P n 21 a       P -2ac -2n       PON$I2C606$I2A666        
    34        P n n 2        P 2 -2n          PON$P2C000$I2A666        
    34:cab    P 2 n n        P -2n 2          PON$I2C666$P2A000        
    34:bca    P n 2 n        P -2n -2n        PON$I2C666$I2A666        
    35        C m m 2        C 2 -2           CON$P2C000$I2A000        
    35:cab    A 2 m m        A -2 2           AON$I2C000$P2A000        
    35:bca    B m 2 m        B -2 -2          BON$I2C000$I2A000        
    36        C m c 21       C 2c -2          CON$P2C006$I2A000        
    36:ba-c   C c m 21       C 2c -2c         CON$P2C006$I2A006        
    36:cab    A 21 m a       A -2a 2a         AON$I2C600$P2A600        
    36:-cba   A 21 a m       A -2 2a          AON$I2C000$P2A600        
    36:bca    B b 21 m       B -2 -2b         BON$I2C000$I2A060        
    36:a-cb   B m 21 b       B -2b -2         BON$I2C060$I2A000        
    37        C c c 2        C 2 -2c          CON$P2C000$I2A006        
    37:cab    A 2 a a        A -2a 2          AON$I2C600$P2A000        
    37:bca    B b 2 b        B -2b -2b        BON$I2C060$I2A060        
    38        A m m 2        A 2 -2           AON$P2C000$I2A000        
    38:ba-c   B m m 2        B 2 -2           BON$P2C000$I2A000        
    38:cab    B 2 m m        B -2 2           BON$I2C000$P2A000        
    38:-cba   C 2 m m        C -2 2           CON$I2C000$P2A000        
    38:bca    C m 2 m        C -2 -2          CON$I2C000$I2A000        
    38:a-cb   A m 2 m        A -2 -2          AON$I2C000$I2A000        
    39        A b m 2        A 2 -2c          AON$P2C000$I2A006        
    39:ba-c   B m a 2        B 2 -2c          BON$P2C000$I2A006        
    39:cab    B 2 c m        B -2c 2          BON$I2C006$P2A000        
    39:-cba   C 2 m b        C -2b 2          CON$I2C060$P2A000        
    39:bca    C m 2 a        C -2b -2b        CON$I2C060$I2A060        
    39:a-cb   A c 2 m        A -2c -2c        AON$I2C006$I2A006        
    40        A m a 2        A 2 -2a          AON$P2C000$I2A600        
    40:ba-c   B b m 2        B 2 -2b          BON$P2C000$I2A060        
    40:cab    B 2 m b        B -2b 2          BON$I2C060$P2A000        
    40:-cba   C 2 c m        C -2c 2          CON$I2C006$P2A000        
    40:bca    C c 2 m        C -2c -2c        CON$I2C006$I2A006        
    40:a-cb   A m 2 a        A -2a -2a        AON$I2C600$I2A600        
    41        A b a 2        A 2 -2ac         AON$P2C000$I2A606        
    41:ba-c   B b a 2        B 2 -2bc         BON$P2C000$I2A066        
    41:cab    B 2 c b        B -2bc 2         BON$I2C066$P2A000        
    41:-cba   C 2 c b        C -2bc 2         CON$I2C066$P2A000        
    41:bca    C c 2 a        C -2bc -2bc      CON$I2C066$I2A066        
    41:a-cb   A c 2 a        A -2ac -2ac      AON$I2C606$I2A606        
    42        F m m 2        F 2 -2           FON$P2C000$I2A000        
    42:cab    F 2 m m        F -2 2           FON$I2C000$P2A000        
    42:bca    F m 2 m        F -2 -2          FON$I2C000$I2A000        
    43        F d d 2        F 2 -2d          FON$P2C000$I2A333        
    43:cab    F 2 d d        F -2d 2          FON$I2C333$P2A000        
    43:bca    F d 2 d        F -2d -2d        FON$I2C333$I2A333        
    44        I m m 2        I 2 -2           ION$P2C000$I2A000        
    44:cab    I 2 m m        I -2 2           ION$I2C000$P2A000        
    44:bca    I m 2 m        I -2 -2          ION$I2C000$I2A000        
    45        I b a 2        I 2 -2c          ION$P2C000$I2A006        
    45:cab    I 2 c b        I -2a 2          ION$I2C600$P2A000        
    45:bca    I c 2 a        I -2b -2b        ION$I2C060$I2A060        
    46        I m a 2        I 2 -2a          ION$P2C000$I2A600        
    46:ba-c   I b m 2        I 2 -2b          ION$P2C000$I2A060        
    46:cab    I 2 m b        I -2b 2          ION$I2C060$P2A000        
    46:-cba   I 2 c m        I -2c 2          ION$I2C006$P2A000        
    46:bca    I c 2 m        I -2c -2c        ION$I2C006$I2A006        
    46:a-cb   I m 2 a        I -2a -2a        ION$I2C600$I2A600        
    47        P m m m       -P 2 2            POC$I1A000$P2C000$P2A000 
    48:1      P n n n:1      P 2 2 -1n        POC$I1A666$P2C000$P2A000 
    48:2      P n n n:2     -P 2ab 2bc        POC$I1A000$P2C660$P2A066 
    49        P c c m       -P 2 2c           POC$I1A000$P2C000$P2A006 
    49:cab    P m a a       -P 2a 2           POC$I1A000$P2C600$P2A000 
    49:bca    P b m b       -P 2b 2b          POC$I1A000$P2C060$P2A060 
    50:1      P b a n:1      P 2 2 -1ab       POC$I1A660$P2C000$P2A000 
    50:2      P b a n:2     -P 2ab 2b         POC$I1A000$P2C660$P2A060 
    50:1cab   P n c b:1      P 2 2 -1bc       POC$I1A066$P2C000$P2A000 
    50:2cab   P n c b:2     -P 2b 2bc         POC$I1A000$P2C060$P2A066 
    50:1bca   P c n a:1      P 2 2 -1ac       POC$I1A606$P2C000$P2A000 
    50:2bca   P c n a:2     -P 2a 2c          POC$I1A000$P2C600$P2A006 
    51        P m m a       -P 2a 2a          POC$I1A000$P2C600$P2A600 
    51:ba-c   P m m b       -P 2b 2           POC$I1A000$P2C060$P2A000 
    51:cab    P b m m       -P 2 2b           POC$I1A000$P2C000$P2A060 
    51:-cba   P c m m       -P 2c 2c          POC$I1A000$P2C006$P2A006 
    51:bca    P m c m       -P 2c 2           POC$I1A000$P2C006$P2A000 
    51:a-cb   P m a m       -P 2 2a           POC$I1A000$P2C000$P2A600 
    52        P n n a       -P 2a 2bc         POC$I1A000$P2C600$P2A066 
    52:ba-c   P n n b       -P 2b 2n          POC$I1A000$P2C060$P2A666 
    52:cab    P b n n       -P 2n 2b          POC$I1A000$P2C666$P2A060 
    52:-cba   P c n n       -P 2ab 2c         POC$I1A000$P2C660$P2A006 
    52:bca    P n c n       -P 2ab 2n         POC$I1A000$P2C660$P2A666 
    52:a-cb   P n a n       -P 2n 2bc         POC$I1A000$P2C666$P2A066 
    53        P m n a       -P 2ac 2          POC$I1A000$P2C606$P2A000 
    53:ba-c   P n m b       -P 2bc 2bc        POC$I1A000$P2C066$P2A066 
    53:cab    P b m n       -P 2ab 2ab        POC$I1A000$P2C660$P2A660 
    53:-cba   P c n m       -P 2 2ac          POC$I1A000$P2C000$P2A606 
    53:bca    P n c m       -P 2 2bc          POC$I1A000$P2C000$P2A066 
    53:a-cb   P m a n       -P 2ab 2          POC$I1A000$P2C660$P2A000 
    54        P c c a       -P 2a 2ac         POC$I1A000$P2C600$P2A606 
    54:ba-c   P c c b       -P 2b 2c          POC$I1A000$P2C060$P2A006 
    54:cab    P b a a       -P 2a 2b          POC$I1A000$P2C600$P2A060 
    54:-cba   P c a a       -P 2ac 2c         POC$I1A000$P2C606$P2A006 
    54:bca    P b c b       -P 2bc 2b         POC$I1A000$P2C066$P2A060 
    54:a-cb   P b a b       -P 2b 2ab         POC$I1A000$P2C060$P2A660 
    55        P b a m       -P 2 2ab          POC$I1A000$P2C000$P2A660 
    55:cab    P m c b       -P 2bc 2          POC$I1A000$P2C066$P2A000 
    55:bca    P c m a       -P 2ac 2ac        POC$I1A000$P2C606$P2A606 
    56        P c c n       -P 2ab 2ac        POC$I1A000$P2C660$P2A606 
    56:cab    P n a a       -P 2ac 2bc        POC$I1A000$P2C606$P2A066 
    56:bca    P b n b       -P 2bc 2ab        POC$I1A000$P2C066$P2A660 
    57        P b c m       -P 2c 2b          POC$I1A000$P2C006$P2A060 
